名称,営業日,住所,アクセス
ジャズカフェGIG,火～日、祝日、祝前日: 19:00～22:00,神奈川県横浜市中区蓬莱町２-5-1,ＪＲ京浜東北・根岸線関内駅南口より徒歩約4分/横浜市営地下鉄ブルーライン伊勢佐木長者町駅出口１より徒歩約4分
Bar&F Dining Astray アストレイ,月、水～日、祝日、祝前日: 19:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）,神奈川県横浜市中区花咲町１-28-1 横濱コーヨー38番館　野毛たてのみ横丁５Ｆ,桜木町駅より徒歩2分 たてのみ横丁5階
ちょっとBAR ごっつあん,月～土、祝前日: 17:00～翌0:30 （料理L.O. 23:45 ドリンクL.O. 23:45）,神奈川県横浜市中区花咲町２‐６９　アルプスビル1F,JR桜木町駅徒歩3分(野毛ちかみち南１番出口)/京急日ノ出町駅下車徒歩7分MM線「馬車道」駅下車1B出口徒歩12分
Diningbar関内ラテン系セニョリータ,月～日、祝日、祝前日: 18:00～翌5:00,神奈川県横浜市中区太田町２-32-1,横浜市営地下鉄ブルーライン関内駅出口３より徒歩約5分/みなとみらい線馬車道駅７出口より徒歩約7分
Sakura Taps さくら タップス,月～金、祝前日: 17:00～23:30土: 15:00～23:30日、祝日: 15:00～21:30,神奈川県横浜市中区花咲町１-16-1,各線　桜木町駅より徒歩約3分
WINE&CAFE Kanakoya,月～土、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,神奈川県横浜市中区日ノ出町1-33,野毛の入口、京急本線「日ノ出町駅」から徒歩10秒
shot bar AQUARIUM アクアリゥーム,月～土、祝日、祝前日: 18:00～翌2:00 （料理L.O. 翌1:30）,神奈川県横浜市中区住吉町３‐３６ ２Ｆ,JR関内駅徒歩3分
ダイニングバー in Blue インブルー,月～金、祝前日: 11:30～13:30 （料理L.O. 13:30 ドリンクL.O. 13:30）16:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）土: 16:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,神奈川県横浜市中区弁天通３-43-1 サングレイス関内 B1F,横浜市営地下鉄ブルーライン関内駅出口３より徒歩約6分/みなとみらい線馬車道駅７出口より徒歩約5分
Key Box 2 キーボックス 2,月～土: 19:00～翌3:00,神奈川県横浜市中区弁天通３－３８　１７フジビル１Ｆ,JR関内徒歩５分
Windjammer ウインドジャマー 横浜,月～金、祝前日: 17:00～翌0:00 （ドリンクL.O. 23:30）土: 16:00～翌0:30 （ドリンクL.O. 翌0:00）日、祝日: 16:00～23:30 （ドリンクL.O. 23:00）,神奈川県横浜市中区山下町215東楽ビル,ＪＲ根岸線石川町駅中華街出口徒歩7分 地下鉄関内駅南口徒歩15分 みなとみらい線元町・中華街駅徒歩10分 
クラッ,月: 16:00～翌0:00 （料理L.O. 23:00）火～日、祝日、祝前日: 16:00～翌3:00 （料理L.O. 翌2:00）,神奈川県横浜市中区住吉町５‐６２　篠原ビル１Ｆ,関内駅徒歩5分
J-Prime Cellar ジェイプライム セラー,火～日、祝日、祝前日: 15:00～翌0:00,神奈川県横浜市中区元町３-１４１　１階,元町中華街駅から徒歩5分/石川町駅元町口から徒歩10分
